"Exporter","Importer",2013,2014,2015,2016,2017,2018,2019,2020
45,15,0,5,3,0,0,0,0,0
46,15,0,0,0,0,2,1,0,0
47,15,35,15,11,6,17,30,13,0
57,15,0,0,0,0,0,0,0,0
60,15,3,1,1,0,0,0,0,0
61,15,0,28,23,37,23,0,26,0
65,15,13,16,28,17,35,0,72,0
67,15,2,0,1,1,1,1,1,0
76,15,0,0,0,0,0,0,0,0
77,15,0,0,1,0,2,2,1,0
82,15,0,108,93,87,102,133,114,0
84,15,1,2,1,1,2,4,43,0
95,15,0,0,0,0,0,0,0,0
100,15,0,0,0,0,0,0,0,0
101,15,54,43,51,77,59,26,97,0
108,15,0,0,0,0,0,0,0,0
123,15,16,7,4,5,973,4154,2189,0
139,15,0,4,3,0,0,1,4,0
140,15,0,0,0,0,2,2,1,0
142,15,0,0,1,1,1,2,2,0
143,15,2,1,1,2,1,1,1,0
153,15,0,0,0,0,0,0,0,0
157,15,0,0,0,0,0,0,0,0
158,15,0,0,1,0,0,0,0,0
167,15,71,19,21,14,11,8,26,0
185,15,147,109,179,0,0,0,0,0
2,16,0,0,0,0,1,2,0,0
10,16,94,145,77,75,68,74,81,0
17,16,19,20,19,18,28,45,54,0
23,16,0,0,0,0,0,0,0,0
27,16,119,129,81,71,69,69,64,0
43,16,9,7,8,7,7,6,8,0
45,16,8,17,17,14,18,21,26,0
46,16,49,42,47,28,24,31,46,0
47,16,22,27,10,11,6,8,13,0
57,16,40,28,13,31,10,18,18,0
60,16,9,17,9,10,18,11,15,0
61,16,19,64,38,80,20,92,104,0
65,16,118,126,134,0,0,0,0,0
67,16,63,116,50,20,43,42,56,0
76,16,10,11,10,9,8,14,14,0
77,16,0,0,0,0,1,1,1,0
82,16,0,0,0,30,0,53,85,0
84,16,122,169,120,80,66,72,56,0
95,16,49,65,53,40,41,43,48,0
100,16,634,760,611,632,626,0,786,0
101,16,37,12,3,2,3,4,3,0
108,16,3,0,0,0,1,0,0,0
123,16,110,53,47,23,52,45,32,0
139,16,1222,1048,792,681,840,952,833,0
140,16,1,1,2,2,2,4,4,0
142,16,7,6,5,7,10,11,7,0
143,16,1473,1486,1250,1202,1509,1737,1653,0
153,16,4,5,4,17,2,2,4,0
157,16,9,13,11,9,9,13,11,0
158,16,7,1,1,1,3,5,5,0
167,16,22,25,18,12,15,22,15,0
185,16,0,0,6,0,3,0,106,36
2,17,0,0,0,0,25,34,57,0
9,17,164,139,110,115,172,152,0,0
10,17,1102,1107,916,925,994,1179,1220,956
23,17,0,0,9,9,15,13,15,0
27,17,146,164,148,181,293,301,315,0
33,17,806,795,731,986,729,0,0,0
43,17,325,344,249,316,335,368,368,217
45,17,52,76,43,42,42,48,41,15
46,17,866,1019,922,1052,1084,1003,1101,911
47,17,1104,1302,1069,1104,1199,1213,1033,0
57,17,59,64,48,54,93,96,103,86
60,17,236,267,272,300,336,403,410,350
61,17,16675,17474,15575,17314,19360,20560,20381,16914
65,17,7222,8118,7113,7779,8264,9379,9216,0
67,17,840,882,611,533,641,781,808,0
75,17,310,398,456,379,364,387,377,0
76,17,413,499,419,440,443,560,514,430
77,17,66,66,74,91,101,107,90,54
82,17,2270,2842,2828,2796,3290,4171,4115,3981
84,17,2695,2614,2588,2717,2827,3312,2893,2700
86,17,0,843,962,950,1175,1310,0,0
95,17,52,97,98,96,112,116,133,76
100,17,157,166,0,0,254,334,393,394
101,17,7004,7080,6346,6005,6197,6591,6279,0
105,17,94,68,96,63,59,67,63,139
108,17,56,0,0,0,85,0,0,0
123,17,8693,12105,10891,11524,12675,13947,15646,12150
124,17,24,31,30,33,45,41,0,0
139,17,1034,1119,1003,1251,1388,1483,1443,1467
140,17,786,873,721,864,917,1098,1067,890
142,17,710,810,864,1002,1161,1315,1368,1147
143,17,371,425,303,369,427,467,544,0
153,17,215,223,184,174,193,207,214,175
156,17,409,478,439,406,470,607,521,0
157,17,191,161,165,241,264,296,304,0
158,17,205,227,211,247,255,253,266,179
163,17,3801,3774,3573,3674,3844,4085,4266,0
167,17,1228,1158,820,1098,1065,877,969,1001
168,17,1555,1532,1518,1688,1642,1696,0,0
185,17,4765,4973,5506,5834,6650,6800,6336,5744
186,17,5462,5914,6334,6017,5711,5928,5630,5823
2,18,0,0,0,0,0,0,0,0
10,18,16,15,14,12,11,11,13,0
17,18,11,13,12,19,12,5,3,0
23,18,0,0,0,0,0,0,0,0
27,18,1,1,1,4,3,4,3,0
43,18,0,0,0,1,0,0,0,0
45,18,1,17,18,27,88,139,118,0
46,18,1,2,0,1,0,40,0,0
47,18,1,3,3,1,6,4,2,0
57,18,13,15,10,8,6,3,3,0
60,18,0,0,1,1,0,1,0,0
61,18,17,11,7,6,6,6,6,0
65,18,19,20,14,0,0,0,0,0
67,18,0,0,1,1,1,1,0,0
76,18,1,2,2,2,2,2,2,0
77,18,1,3,1,2,1,1,1,0
82,18,4,4,2,1,0,2,2,0
84,18,1,0,1,2,2,2,1,0
95,18,13,9,19,15,12,8,2,0
100,18,6,6,6,10,14,0,3,0
101,18,9,12,9,23,18,11,6,0
123,18,1,2,1,3,4,4,5,0
139,18,8,7,5,5,3,3,2,0
140,18,8,7,4,3,6,6,2,0
142,18,17,3,3,13,121,48,5,0
143,18,80,100,77,66,56,52,36,0
153,18,7,4,7,4,3,2,2,0
157,18,0,0,0,0,0,0,0,0
158,18,0,2,1,0,1,1,0,0
167,18,5,7,4,3,0,0,2,0
185,18,66,49,31,0,0,0,0,0
2,19,0,0,0,0,0,0,0,0
10,19,1,1,1,1,0,0,0,0
17,19,48,25,24,20,20,43,21,0
23,19,0,0,0,0,0,0,0,0
27,19,0,0,0,0,0,0,0,0
43,19,0,0,0,0,1,1,0,0
45,19,0,0,0,0,0,0,0,0
46,19,0,0,0,0,0,1,0,0
47,19,21,39,19,8,37,84,31,0
57,19,0,0,0,0,0,0,0,0
60,19,0,0,0,0,2,2,1,0
61,19,106,179,143,117,87,141,137,0
65,19,7,16,16,0,0,0,0,0
67,19,0,0,8,7,10,16,14,0
76,19,0,0,0,0,0,0,5,0
77,19,0,0,0,0,0,0,0,0
82,19,0,0,0,1,0,0,0,0
84,19,1,2,1,3,3,5,2,0
95,19,0,0,0,0,0,0,0,0
100,19,0,0,0,0,0,0,0,0
101,19,1,1,1,1,0,0,1,0
123,19,59,41,13,9,7,6,6,0
139,19,1,1,2,1,0,0,0,0
140,19,0,0,0,0,1,0,1,0
142,19,0,0,0,0,0,0,0,0
143,19,0,0,0,0,0,0,0,0
153,19,0,0,0,0,0,0,0,0
157,19,0,0,0,0,0,0,0,0
158,19,0,0,0,0,0,0,0,0
167,19,36,34,23,23,26,29,16,0
185,19,31,46,24,0,0,0,0,0
2,20,0,0,0,0,0,0,0,0
10,20,24,52,9,7,5,2,3,0
17,20,197,201,237,184,180,117,132,0
23,20,0,0,0,0,0,0,0,0
27,20,22,0,15,0,0,0,1,0
33,20,1365,1475,1640,1030,1416,1354,1348,0
43,20,1,1,1,1,1,1,1,0
45,20,4,4,11,7,7,8,12,0
46,20,125,0,0,0,0,38,0,0
47,20,103,86,71,34,328,395,122,0
57,20,1,2,3,5,3,7,7,0
60,20,33,21,3,4,2,5,2,0
61,20,491,353,199,132,189,218,165,0
65,20,915,1224,1145,1451,950,942,1008,0
67,20,42,29,1,2,5,14,9,0
76,20,7,10,29,35,40,38,0,0
77,20,0,0,0,1,1,2,1,0
82,20,1418,707,226,573,1583,2205,2406,0
84,20,54,45,35,38,46,33,30,0
95,20,27,1,2,3,1,0,0,0
100,20,3,50,49,57,76,0,77,0
101,20,424,307,312,327,312,338,287,0
108,20,0,0,0,0,38,0,0,0
123,20,719,308,1496,2100,1135,0,0,0
139,20,3,5,7,8,10,8,9,0
140,20,16,23,29,49,25,20,19,0
142,20,38,44,41,46,48,53,14,0
143,20,94,114,72,31,46,82,102,0
153,20,0,1,0,0,0,0,0,0
157,20,0,0,0,0,0,0,0,0
158,20,4,5,5,5,4,5,5,0
167,20,129,198,106,92,194,143,171,0
185,20,1996,1486,1476,0,0,0,0,0
186,20,10851,11109,11476,11090,9594,8148,6786,8305
2,21,0,0,0,0,0,0,0,0
