Exporter,Importer,Lookup,2013,2014,2015,2016,2017,2018,2019,2020
France,Azerbaijan,FranceAzerbaijan,98,66,108,79,133,72,62,
Greece,Azerbaijan,GreeceAzerbaijan,5,5,11,2,4,4,4,
Hungary,Azerbaijan,HungaryAzerbaijan,3,6,4,4,9,4,5,
Iceland,Azerbaijan,IcelandAzerbaijan,0,0,0,0,0,0,0,
Italy,Azerbaijan,ItalyAzerbaijan,41,58,56,130,241,327,59,
Latvia,Azerbaijan,LatviaAzerbaijan,9,12,9,11,10,7,9,
Lithuania,Azerbaijan,LithuaniaAzerbaijan,4,7,3,6,6,,4,
Luxembourg,Azerbaijan,LuxembourgAzerbaijan,21,17,19,13,17,11,25,
Malta,Azerbaijan,MaltaAzerbaijan,,,,,10,,,
Netherlands,Azerbaijan,NetherlandsAzerbaijan,129,110,339,146,157,136,211,
Poland,Azerbaijan,PolandAzerbaijan,7,5,7,6,7,8,9,
Portugal,Azerbaijan,PortugalAzerbaijan,1,1,1,1,2,2,2,
Romania,Azerbaijan,RomaniaAzerbaijan,8,11,4,1,1,1,,
Russian Federation,Azerbaijan,Russian FederationAzerbaijan,527,419,305,301,363,435,473,
Serbia,Azerbaijan,SerbiaAzerbaijan,3,4,3,2,2,1,7,
Slovakia,Azerbaijan,SlovakiaAzerbaijan,0,5,1,1,4,3,0,
Slovenia,Azerbaijan,SloveniaAzerbaijan,1,1,1,0,1,1,1,
Sweden,Azerbaijan,SwedenAzerbaijan,24,34,53,25,15,16,24,
United Kingdom,Azerbaijan,United KingdomAzerbaijan,441,1387,619,,,,,
Albania,Bahamas,AlbaniaBahamas,,,,,0,0,,
Austria,Bahamas,AustriaBahamas,1,1,2,3,1,4,3,
Belgium,Bahamas,BelgiumBahamas,44,29,33,402,60,30,27,
Bosnia and Herzegovina,Bahamas,Bosnia and HerzegovinaBahamas,,,0,0,0,0,0,
Bulgaria,Bahamas,BulgariaBahamas,1,1,1,0,0,1,1,
Canada,Bahamas,CanadaBahamas,230,196,101,99,114,196,198,
Croatia,Bahamas,CroatiaBahamas,9,2,2,2,2,2,3,
Cyprus,Bahamas,CyprusBahamas,1,3,7,6,6,6,6,
Czech Republic,Bahamas,Czech RepublicBahamas,0,0,0,0,0,0,0,
