Exporter,Importer,Lookup,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,Bahamas,DenmarkBahamas,44,79,52,57,65,25,42,
Estonia,Bahamas,EstoniaBahamas,2,3,2,1,1,1,2,
Finland,Bahamas,FinlandBahamas,60,29,28,30,5,6,8,
France,Bahamas,FranceBahamas,56,52,42,24,35,30,45,
Germany,Bahamas,GermanyBahamas,141,157,131,75,60,41,49,
Greece,Bahamas,GreeceBahamas,49,36,29,25,28,24,25,
Hungary,Bahamas,HungaryBahamas,0,0,0,1,1,3,3,
Iceland,Bahamas,IcelandBahamas,0,0,0,0,0,0,0,
Ireland,Bahamas,IrelandBahamas,21,,38,80,35,26,22,
Italy,Bahamas,ItalyBahamas,5,8,18,6,9,10,12,
Latvia,Bahamas,LatviaBahamas,1,3,2,2,2,1,3,
Lithuania,Bahamas,LithuaniaBahamas,1,1,2,1,1,,0,
Luxembourg,Bahamas,LuxembourgBahamas,112,80,75,136,105,122,113,
Malta,Bahamas,MaltaBahamas,0,,,,27,,,
Netherlands,Bahamas,NetherlandsBahamas,27,15,25,18,28,30,50,
Poland,Bahamas,PolandBahamas,9,5,6,3,5,9,6,
Portugal,Bahamas,PortugalBahamas,19,12,8,4,8,7,9,
Romania,Bahamas,RomaniaBahamas,5,1,0,0,0,3,2,
Russian Federation,Bahamas,Russian FederationBahamas,46,35,21,14,18,12,78,
Serbia,Bahamas,SerbiaBahamas,0,0,0,0,0,1,1,
Slovakia,Bahamas,SlovakiaBahamas,0,0,0,0,0,0,0,
Slovenia,Bahamas,SloveniaBahamas,0,0,0,0,0,0,0,
Sweden,Bahamas,SwedenBahamas,14,13,13,20,25,9,23,
United Kingdom,Bahamas,United KingdomBahamas,297,224,191,,,,,
Albania,Bahrain,AlbaniaBahrain,,,,,0,0,,
Austria,Bahrain,AustriaBahrain,20,23,17,19,17,19,27,
Belgium,Bahrain,BelgiumBahrain,66,90,42,51,42,18,7,
Bosnia and Herzegovina,Bahrain,Bosnia and HerzegovinaBahrain,,,0,11,10,9,10,
Bulgaria,Bahrain,BulgariaBahrain,1,1,0,0,0,0,0,
Croatia,Bahrain,CroatiaBahrain,0,1,0,3,0,0,0,
Cyprus,Bahrain,CyprusBahrain,8,7,19,2,3,4,3,
Czech Republic,Bahrain,Czech RepublicBahrain,3,1,2,2,2,59,2,
Denmark,Bahrain,DenmarkBahrain,40,53,34,28,39,48,72,
Estonia,Bahrain,EstoniaBahrain,0,0,0,1,0,1,1,
Finland,Bahrain,FinlandBahrain,13,12,38,11,9,11,7,
France,Bahrain,FranceBahrain,94,242,271,242,176,93,200,
Germany,Bahrain,GermanyBahrain,88,170,103,,,,,
Greece,Bahrain,GreeceBahrain,85,146,42,14,18,26,29,
Hong Kong,Bahrain,Hong KongBahrain,,,,,,,,
Hungary,Bahrain,HungaryBahrain,3,1,3,2,1,1,2,
Iceland,Bahrain,IcelandBahrain,0,0,0,0,1,0,0,
Ireland,Bahrain,IrelandBahrain,90,62,58,96,70,110,135,
Italy,Bahrain,ItalyBahrain,16,26,86,48,33,83,339,
Latvia,Bahrain,LatviaBahrain,0,0,0,0,0,0,0,
Lithuania,Bahrain,LithuaniaBahrain,0,0,0,0,0,,0,
Luxembourg,Bahrain,LuxembourgBahrain,25,40,60,71,115,116,101,
Malta,Bahrain,MaltaBahrain,0,,,,0,,,
Netherlands,Bahrain,NetherlandsBahrain,68,58,50,54,60,86,91,
Poland,Bahrain,PolandBahrain,2,3,3,5,3,4,13,
Portugal,Bahrain,PortugalBahrain,3,3,2,2,3,5,4,
Romania,Bahrain,RomaniaBahrain,0,1,1,1,2,2,2,
Russian Federation,Bahrain,Russian FederationBahrain,2,2,3,4,4,6,23,
Serbia,Bahrain,SerbiaBahrain,0,0,0,0,0,0,0,
Slovakia,Bahrain,SlovakiaBahrain,7,4,3,3,3,0,0,
Slovenia,Bahrain,SloveniaBahrain,0,0,0,0,0,0,0,
Sweden,Bahrain,SwedenBahrain,47,63,73,131,156,150,27,
United Kingdom,Bahrain,United KingdomBahrain,400,550,425,,,,,
United States,Bahrain,United StatesBahrain,641,583,505,545,640,695,733,574
Albania,Bangladesh,AlbaniaBangladesh,,,,,0,0,,
Austria,Bangladesh,AustriaBangladesh,3,3,3,6,5,12,13,
Belgium,Bangladesh,BelgiumBangladesh,13,9,9,22,8,19,12,
Bosnia and Herzegovina,Bangladesh,Bosnia and HerzegovinaBangladesh,,,0,0,0,0,0,
Bulgaria,Bangladesh,BulgariaBangladesh,0,1,0,1,1,1,1,
Croatia,Bangladesh,CroatiaBangladesh,0,1,0,0,0,0,0,
Cyprus,Bangladesh,CyprusBangladesh,0,4,1,0,0,0,0,
Czech Republic,Bangladesh,Czech RepublicBangladesh,1,3,4,9,3,6,4,
Denmark,Bangladesh,DenmarkBangladesh,26,23,20,20,46,72,48,
Estonia,Bangladesh,EstoniaBangladesh,0,0,0,1,1,1,2,
Finland,Bangladesh,FinlandBangladesh,21,16,10,10,10,7,11,
France,Bangladesh,FranceBangladesh,24,29,24,22,172,64,62,
Germany,Bangladesh,GermanyBangladesh,44,68,62,71,97,113,123,
Greece,Bangladesh,GreeceBangladesh,0,0,65,60,85,127,110,
Hong Kong,Bangladesh,Hong KongBangladesh,83,96,103,99,105,115,110,
Hungary,Bangladesh,HungaryBangladesh,0,1,0,0,0,0,0,
Iceland,Bangladesh,IcelandBangladesh,0,0,0,0,0,0,0,
Ireland,Bangladesh,IrelandBangladesh,8,,,11,14,21,21,
Italy,Bangladesh,ItalyBangladesh,47,39,52,33,22,41,34,
Latvia,Bangladesh,LatviaBangladesh,0,0,0,0,2,1,0,
Lithuania,Bangladesh,LithuaniaBangladesh,2,1,0,0,0,,2,
Luxembourg,Bangladesh,LuxembourgBangladesh,64,57,51,49,38,34,36,
Malaysia,Bangladesh,MalaysiaBangladesh,168,276,170,184,192,247,378,44
Malta,Bangladesh,MaltaBangladesh,,,,,,,,
Netherlands,Bangladesh,NetherlandsBangladesh,67,33,33,37,43,97,102,
Poland,Bangladesh,PolandBangladesh,0,1,0,1,0,3,5,
Portugal,Bangladesh,PortugalBangladesh,0,1,1,1,2,1,1,
Romania,Bangladesh,RomaniaBangladesh,2,1,1,0,0,0,0,
Russian Federation,Bangladesh,Russian FederationBangladesh,5,47,41,136,187,744,621,
Serbia,Bangladesh,SerbiaBangladesh,0,0,0,0,0,0,0,
Slovakia,Bangladesh,SlovakiaBangladesh,0,37,0,0,0,0,0,
Slovenia,Bangladesh,SloveniaBangladesh,0,0,0,0,0,0,0,
Sweden,Bangladesh,SwedenBangladesh,45,60,51,41,33,27,22,
United Kingdom,Bangladesh,United KingdomBangladesh,585,430,597,,,,,
Albania,Barbados,AlbaniaBarbados,,,,,0,0,,
Austria,Barbados,AustriaBarbados,0,0,0,0,0,0,0,
Belgium,Barbados,BelgiumBarbados,19,41,7,8,15,18,10,
Bosnia and Herzegovina,Barbados,Bosnia and HerzegovinaBarbados,,,0,0,0,0,0,
Bulgaria,Barbados,BulgariaBarbados,0,0,0,0,5,6,2,
Canada,Barbados,CanadaBarbados,533,425,293,389,407,431,427,
Croatia,Barbados,CroatiaBarbados,0,4,0,0,1,0,2,
Cyprus,Barbados,CyprusBarbados,,5,3,,,,,
Czech Republic,Barbados,Czech RepublicBarbados,0,0,0,0,2,1,0,
Denmark,Barbados,DenmarkBarbados,35,15,11,6,17,30,13,
Estonia,Barbados,EstoniaBarbados,0,0,0,0,0,0,0,
Finland,Barbados,FinlandBarbados,3,1,1,0,0,0,0,
France,Barbados,FranceBarbados,,28,23,37,23,,26,
Germany,Barbados,GermanyBarbados,13,16,28,17,35,,72,
Greece,Barbados,GreeceBarbados,2,0,1,1,1,1,1,
Hungary,Barbados,HungaryBarbados,0,0,0,0,0,0,0,
Iceland,Barbados,IcelandBarbados,0,0,1,0,2,2,1,
Ireland,Barbados,IrelandBarbados,,108,93,87,102,133,114,
Italy,Barbados,ItalyBarbados,1,2,1,1,2,4,43,
Latvia,Barbados,LatviaBarbados,0,0,0,0,0,0,0,
Lithuania,Barbados,LithuaniaBarbados,0,0,0,0,0,,0,
Luxembourg,Barbados,LuxembourgBarbados,54,43,51,77,59,26,97,
Malta,Barbados,MaltaBarbados,,,,,,,,
Netherlands,Barbados,NetherlandsBarbados,16,7,4,5,973,4154,2189,
Poland,Barbados,PolandBarbados,0,4,3,0,0,1,4,
Portugal,Barbados,PortugalBarbados,0,0,0,0,2,2,1,
Romania,Barbados,RomaniaBarbados,0,,1,1,1,2,2,
Russian Federation,Barbados,Russian FederationBarbados,2,1,1,2,1,1,1,
Serbia,Barbados,SerbiaBarbados,0,0,0,0,0,0,0,
Slovakia,Barbados,SlovakiaBarbados,0,0,0,0,0,0,0,
Slovenia,Barbados,SloveniaBarbados,0,0,1,0,0,0,0,
Sweden,Barbados,SwedenBarbados,71,19,21,14,11,8,26,
United Kingdom,Barbados,United KingdomBarbados,147,109,179,,,,,
Albania,Belarus,AlbaniaBelarus,,,,,1,2,,
Austria,Belarus,AustriaBelarus,94,145,77,75,68,74,81,
Belgium,Belarus,BelgiumBelarus,19,20,19,18,28,45,54,
Bosnia and Herzegovina,Belarus,Bosnia and HerzegovinaBelarus,,,0,0,0,0,0,
Bulgaria,Belarus,BulgariaBelarus,119,129,81,71,69,69,64,
Croatia,Belarus,CroatiaBelarus,9,7,8,7,7,6,8,
Cyprus,Belarus,CyprusBelarus,8,17,17,14,18,21,26,
Czech Republic,Belarus,Czech RepublicBelarus,49,42,47,28,24,31,46,
Denmark,Belarus,DenmarkBelarus,22,27,10,11,6,8,13,
Estonia,Belarus,EstoniaBelarus,40,28,13,31,10,18,18,
Finland,Belarus,FinlandBelarus,9,17,9,10,18,11,15,
France,Belarus,FranceBelarus,19,64,38,80,20,92,104,
Germany,Belarus,GermanyBelarus,118,126,134,,,,,
Greece,Belarus,GreeceBelarus,63,116,50,20,43,42,56,
Hungary,Belarus,HungaryBelarus,10,11,10,9,8,14,14,
Iceland,Belarus,IcelandBelarus,0,0,0,0,1,1,1,
Ireland,Belarus,IrelandBelarus,,,,30,,53,85,
Italy,Belarus,ItalyBelarus,122,169,120,80,66,72,56,
Latvia,Belarus,LatviaBelarus,49,65,53,40,41,43,48,
Lithuania,Belarus,LithuaniaBelarus,634,760,611,632,626,,786,
Luxembourg,Belarus,LuxembourgBelarus,37,12,3,2,3,4,3,
Malta,Belarus,MaltaBelarus,3,,,,1,,,
Netherlands,Belarus,NetherlandsBelarus,110,53,47,23,52,45,32,
Poland,Belarus,PolandBelarus,1222,1048,792,681,840,952,833,
Portugal,Belarus,PortugalBelarus,1,1,2,2,2,4,4,
Romania,Belarus,RomaniaBelarus,7,6,5,7,10,11,7,
Russian Federation,Belarus,Russian FederationBelarus,1473,1486,1250,1202,1509,1737,1653,
Serbia,Belarus,SerbiaBelarus,4,5,4,17,2,2,4,
Slovakia,Belarus,SlovakiaBelarus,9,13,11,9,9,13,11,
Slovenia,Belarus,SloveniaBelarus,7,1,1,1,3,5,5,
Sweden,Belarus,SwedenBelarus,22,25,18,12,15,22,15,
United Kingdom,Belarus,United KingdomBelarus,0,0,6,0,3,0,106,36
Albania,Belgium,AlbaniaBelgium,,,,,25,34,57,
Australia,Belgium,AustraliaBelgium,164,139,110,115,172,152,,
Austria,Belgium,AustriaBelgium,1102,1107,916,925,994,1179,1220,956
Bosnia and Herzegovina,Belgium,Bosnia and HerzegovinaBelgium,,,9,9,15,13,15,
Bulgaria,Belgium,BulgariaBelgium,146,164,148,181,293,301,315,
Canada,Belgium,CanadaBelgium,806,795,731,986,729,,,
Croatia,Belgium,CroatiaBelgium,325,344,249,316,335,368,368,217
Cyprus,Belgium,CyprusBelgium,52,76,43,42,42,48,41,15
Czech Republic,Belgium,Czech RepublicBelgium,866,1019,922,1052,1084,1003,1101,911
Denmark,Belgium,DenmarkBelgium,1104,1302,1069,1104,1199,1213,1033,
Estonia,Belgium,EstoniaBelgium,59,64,48,54,93,96,103,86
Finland,Belgium,FinlandBelgium,236,267,272,300,336,403,410,350
France,Belgium,FranceBelgium,16675,17474,15575,17314,19360,20560,20381,16914
Germany,Belgium,GermanyBelgium,7222,8118,7113,7779,8264,9379,9216,
Greece,Belgium,GreeceBelgium,840,882,611,533,641,781,808,
Hong Kong,Belgium,Hong KongBelgium,310,398,456,379,364,387,377,
Hungary,Belgium,HungaryBelgium,413,499,419,440,443,560,514,430
Iceland,Belgium,IcelandBelgium,66,66,74,91,101,107,90,54
Ireland,Belgium,IrelandBelgium,2270,2842,2828,2796,3290,4171,4115,3981
Italy,Belgium,ItalyBelgium,2695,2614,2588,2717,2827,3312,2893,2700
Japan,Belgium,JapanBelgium,,843,962,950,1175,1310,,
Latvia,Belgium,LatviaBelgium,52,97,98,96,112,116,133,76
Lithuania,Belgium,LithuaniaBelgium,157,166,,,254,334,393,394
Luxembourg,Belgium,LuxembourgBelgium,7004,7080,6346,6005,6197,6591,6279,
Malaysia,Belgium,MalaysiaBelgium,94,68,96,63,59,67,63,139
Malta,Belgium,MaltaBelgium,56,,,,85,,,
Netherlands,Belgium,NetherlandsBelgium,8693,12105,10891,11524,12675,13947,15646,12150
New Zealand,Belgium,New ZealandBelgium,24,31,30,33,45,41,,
Poland,Belgium,PolandBelgium,1034,1119,1003,1251,1388,1483,1443,1467
Portugal,Belgium,PortugalBelgium,786,873,721,864,917,1098,1067,890
Romania,Belgium,RomaniaBelgium,710,810,864,1002,1161,1315,1368,1147
Russian Federation,Belgium,Russian FederationBelgium,371,425,303,369,427,467,544,
Serbia,Belgium,SerbiaBelgium,215,223,184,174,193,207,214,175
Singapore,Belgium,SingaporeBelgium,409,478,439,406,470,607,521,
Slovakia,Belgium,SlovakiaBelgium,191,161,165,241,264,296,304,
Slovenia,Belgium,SloveniaBelgium,205,227,211,247,255,253,266,179
Spain,Belgium,SpainBelgium,3801,3774,3573,3674,3844,4085,4266,
Sweden,Belgium,SwedenBelgium,1228,1158,820,1098,1065,877,969,1001
Switzerland,Belgium,SwitzerlandBelgium,1555,1532,1518,1688,1642,1696,,
United Kingdom,Belgium,United KingdomBelgium,4765,4973,5506,5834,6650,6800,6336,5744
United States,Belgium,United StatesBelgium,5462,5914,6334,6017,5711,5928,5630,5823
Albania,Belize,AlbaniaBelize,,,,,0,0,,
Austria,Belize,AustriaBelize,16,15,14,12,11,11,13,
Belgium,Belize,BelgiumBelize,11,13,12,19,12,5,3,
Bosnia and Herzegovina,Belize,Bosnia and HerzegovinaBelize,,,0,0,0,0,0,
Bulgaria,Belize,BulgariaBelize,1,1,1,4,3,4,3,
Croatia,Belize,CroatiaBelize,0,0,0,1,0,0,0,
Cyprus,Belize,CyprusBelize,1,17,18,27,88,139,118,
Czech Republic,Belize,Czech RepublicBelize,1,2,0,1,0,40,0,
Denmark,Belize,DenmarkBelize,1,3,3,1,6,4,2,
Estonia,Belize,EstoniaBelize,13,15,10,8,6,3,3,
Finland,Belize,FinlandBelize,0,0,1,1,0,1,0,
France,Belize,FranceBelize,17,11,7,6,6,6,6,
Germany,Belize,GermanyBelize,19,20,14,,,,,
Greece,Belize,GreeceBelize,0,0,1,1,1,1,0,
Hungary,Belize,HungaryBelize,1,2,2,2,2,2,2,
Iceland,Belize,IcelandBelize,1,3,1,2,1,1,1,
Ireland,Belize,IrelandBelize,4,4,2,1,0,2,2,
Italy,Belize,ItalyBelize,1,0,1,2,2,2,1,
Latvia,Belize,LatviaBelize,13,9,19,15,12,8,2,
Lithuania,Belize,LithuaniaBelize,6,6,6,10,14,,3,
Luxembourg,Belize,LuxembourgBelize,9,12,9,23,18,11,6,
Netherlands,Belize,NetherlandsBelize,1,2,1,3,4,4,5,
Poland,Belize,PolandBelize,8,7,5,5,3,3,2,
Portugal,Belize,PortugalBelize,8,7,4,3,6,6,2,
Romania,Belize,RomaniaBelize,17,3,3,13,121,48,5,
Russian Federation,Belize,Russian FederationBelize,80,100,77,66,56,52,36,
Serbia,Belize,SerbiaBelize,7,4,7,4,3,2,2,
Slovakia,Belize,SlovakiaBelize,0,0,0,0,0,0,0,
Slovenia,Belize,SloveniaBelize,0,2,1,0,1,1,0,
Sweden,Belize,SwedenBelize,5,7,4,3,0,0,2,
United Kingdom,Belize,United KingdomBelize,66,49,31,,,,,
Albania,Benin,AlbaniaBenin,,,,,0,0,,
Austria,Benin,AustriaBenin,1,1,1,1,0,0,0,
Belgium,Benin,BelgiumBenin,48,25,24,20,20,43,21,
Bosnia and Herzegovina,Benin,Bosnia and HerzegovinaBenin,,,0,0,0,0,0,
Bulgaria,Benin,BulgariaBenin,0,0,0,0,0,0,0,
Croatia,Benin,CroatiaBenin,0,0,0,0,1,1,0,
Cyprus,Benin,CyprusBenin,0,0,0,0,0,0,,
Czech Republic,Benin,Czech RepublicBenin,0,0,0,0,0,1,0,
Denmark,Benin,DenmarkBenin,21,39,19,8,37,84,31,
Estonia,Benin,EstoniaBenin,0,0,0,0,0,0,0,
Finland,Benin,FinlandBenin,0,0,0,0,2,2,1,
France,Benin,FranceBenin,106,179,143,117,87,141,137,
Germany,Benin,GermanyBenin,7,16,16,,,,,
Greece,Benin,GreeceBenin,0,0,8,7,10,16,14,
Hungary,Benin,HungaryBenin,0,0,0,,,,5,
Iceland,Benin,IcelandBenin,0,0,0,0,0,0,0,
Ireland,Benin,IrelandBenin,0,0,0,1,0,0,0,
Italy,Benin,ItalyBenin,1,2,1,3,3,5,2,
Latvia,Benin,LatviaBenin,0,0,0,0,0,0,0,
Lithuania,Benin,LithuaniaBenin,0,0,0,0,0,,0,
Luxembourg,Benin,LuxembourgBenin,1,1,1,1,0,0,1,
Netherlands,Benin,NetherlandsBenin,59,41,13,9,7,6,6,
Poland,Benin,PolandBenin,1,1,2,1,0,0,0,
Portugal,Benin,PortugalBenin,0,0,0,0,1,0,1,
Romania,Benin,RomaniaBenin,,,0,0,0,0,0,
Russian Federation,Benin,Russian FederationBenin,0,0,0,0,0,0,0,
Serbia,Benin,SerbiaBenin,0,0,0,0,0,0,0,
Slovakia,Benin,SlovakiaBenin,0,0,0,0,0,0,0,
Slovenia,Benin,SloveniaBenin,0,0,0,0,0,0,0,
Sweden,Benin,SwedenBenin,36,34,23,23,26,29,16,
United Kingdom,Benin,United KingdomBenin,31,46,24,,,,,
Albania,Bermuda,AlbaniaBermuda,,,,,0,0,,
Austria,Bermuda,AustriaBermuda,24,52,9,7,5,2,3,
Belgium,Bermuda,BelgiumBermuda,197,201,237,184,180,117,132,
Bosnia and Herzegovina,Bermuda,Bosnia and HerzegovinaBermuda,,,0,0,0,0,0,
Bulgaria,Bermuda,BulgariaBermuda,22,0,15,0,0,0,1,
Canada,Bermuda,CanadaBermuda,1365,1475,1640,1030,1416,1354,1348,
Croatia,Bermuda,CroatiaBermuda,1,1,1,1,1,1,1,
Cyprus,Bermuda,CyprusBermuda,4,4,11,7,7,8,12,
Czech Republic,Bermuda,Czech RepublicBermuda,125,0,0,0,0,38,0,
Denmark,Bermuda,DenmarkBermuda,103,86,71,34,328,395,122,
Estonia,Bermuda,EstoniaBermuda,1,2,3,5,3,7,7,
Finland,Bermuda,FinlandBermuda,33,21,3,4,2,5,2,
France,Bermuda,FranceBermuda,491,353,199,132,189,218,165,
Germany,Bermuda,GermanyBermuda,915,1224,1145,1451,950,942,1008,
Greece,Bermuda,GreeceBermuda,42,29,1,2,5,14,9,
Hungary,Bermuda,HungaryBermuda,7,10,29,35,40,38,0,
Iceland,Bermuda,IcelandBermuda,0,0,0,1,1,2,1,
Ireland,Bermuda,IrelandBermuda,1418,707,226,573,1583,2205,2406,
Italy,Bermuda,ItalyBermuda,54,45,35,38,46,33,30,
Latvia,Bermuda,LatviaBermuda,27,1,2,3,1,0,0,
Lithuania,Bermuda,LithuaniaBermuda,3,50,49,57,76,,77,
Luxembourg,Bermuda,LuxembourgBermuda,424,307,312,327,312,338,287,
Malta,Bermuda,MaltaBermuda,,,,,38,,,
Netherlands,Bermuda,NetherlandsBermuda,719,308,1496,2100,1135,,,
Poland,Bermuda,PolandBermuda,3,5,7,8,10,8,9,
Portugal,Bermuda,PortugalBermuda,16,23,29,49,25,20,19,
Romania,Bermuda,RomaniaBermuda,38,44,41,46,48,53,14,
Russian Federation,Bermuda,Russian FederationBermuda,94,114,72,31,46,82,102,
Serbia,Bermuda,SerbiaBermuda,0,1,0,0,0,0,0,
Slovakia,Bermuda,SlovakiaBermuda,0,0,0,0,0,0,0,
Slovenia,Bermuda,SloveniaBermuda,4,5,5,5,4,5,5,
Sweden,Bermuda,SwedenBermuda,129,198,106,92,194,143,171,
United Kingdom,Bermuda,United KingdomBermuda,1996,1486,1476,,,,,
United States,Bermuda,United StatesBermuda,10851,11109,11476,11090,9594,8148,6786,8305
Albania,Bhutan,AlbaniaBhutan,,,,,0,0,,
Austria,Bhutan,AustriaBhutan,7,5,2,2,2,2,6,
Belgium,Bhutan,BelgiumBhutan,0,0,0,0,0,0,0,
Bosnia and Herzegovina,Bhutan,Bosnia and HerzegovinaBhutan,,,0,0,0,0,0,
Bulgaria,Bhutan,BulgariaBhutan,0,0,0,0,0,0,0,
Croatia,Bhutan,CroatiaBhutan,0,0,0,0,3,1,0,
Cyprus,Bhutan,CyprusBhutan,0,0,0,0,0,0,0,
Czech Republic,Bhutan,Czech RepublicBhutan,0,0,0,0,0,1,0,
Denmark,Bhutan,DenmarkBhutan,0,0,0,0,0,0,0,
Estonia,Bhutan,EstoniaBhutan,,0,0,0,0,0,0,
Finland,Bhutan,FinlandBhutan,0,0,0,0,0,0,0,
France,Bhutan,FranceBhutan,,,4,,,15,,
Germany,Bhutan,GermanyBhutan,0,0,0,1,3,1,0,
Greece,Bhutan,GreeceBhutan,0,0,0,0,0,0,0,
Hungary,Bhutan,HungaryBhutan,0,0,0,0,0,0,0,
Iceland,Bhutan,IcelandBhutan,0,0,0,0,0,0,0,
Ireland,Bhutan,IrelandBhutan,0,0,-1,,0,,,
Italy,Bhutan,ItalyBhutan,0,0,0,0,0,0,0,
Latvia,Bhutan,LatviaBhutan,0,0,0,0,0,0,0,
Lithuania,Bhutan,LithuaniaBhutan,2,,,,,,0,
Luxembourg,Bhutan,LuxembourgBhutan,0,0,0,1,0,0,0,
Malta,Bhutan,MaltaBhutan,0,,,,0,,,
Netherlands,Bhutan,NetherlandsBhutan,0,0,0,0,0,0,1,
Poland,Bhutan,PolandBhutan,0,0,0,0,0,0,0,
Portugal,Bhutan,PortugalBhutan,0,0,0,0,0,0,0,
Romania,Bhutan,RomaniaBhutan,,,,0,0,0,0,
Russian Federation,Bhutan,Russian FederationBhutan,0,,0,0,0,0,0,
Serbia,Bhutan,SerbiaBhutan,0,0,0,0,0,0,0,
Slovakia,Bhutan,SlovakiaBhutan,0,0,0,0,0,0,0,
Slovenia,Bhutan,SloveniaBhutan,0,0,0,0,0,0,0,
Sweden,Bhutan,SwedenBhutan,3,3,3,2,3,2,3,
United Kingdom,Bhutan,United KingdomBhutan,0,0,6,,,,,
Albania,Bolivia,AlbaniaBolivia,,,,,0,0,,
Austria,Bolivia,AustriaBolivia,1,4,1,1,3,4,2,
Belgium,Bolivia,BelgiumBolivia,3,5,3,2,2,6,4,
Bosnia and Herzegovina,Bolivia,Bosnia and HerzegovinaBolivia,,,0,0,0,0,0,
Bulgaria,Bolivia,BulgariaBolivia,0,0,0,0,0,0,0,
Croatia,Bolivia,CroatiaBolivia,0,0,0,0,2,0,0,
Cyprus,Bolivia,CyprusBolivia,0,0,0,0,0,0,,
Czech Republic,Bolivia,Czech RepublicBolivia,4,0,0,0,2,4,0,
Denmark,Bolivia,DenmarkBolivia,29,18,12,18,26,23,25,
Estonia,Bolivia,EstoniaBolivia,0,0,0,0,0,8,6,
Finland,Bolivia,FinlandBolivia,5,8,10,10,8,6,2,
France,Bolivia,FranceBolivia,36,199,194,147,,33,,
Germany,Bolivia,GermanyBolivia,24,24,21,,,,,
Greece,Bolivia,GreeceBolivia,0,0,0,0,0,0,0,
Hungary,Bolivia,HungaryBolivia,2,0,0,0,0,0,0,
Iceland,Bolivia,IcelandBolivia,0,0,0,0,0,0,0,
Ireland,Bolivia,IrelandBolivia,3,1,9,,15,7,8,
Italy,Bolivia,ItalyBolivia,24,15,16,16,20,32,13,
Latvia,Bolivia,LatviaBolivia,0,0,0,0,0,0,0,
Lithuania,Bolivia,LithuaniaBolivia,0,0,0,0,0,,0,
Luxembourg,Bolivia,LuxembourgBolivia,7,16,12,13,15,15,11,
Malta,Bolivia,MaltaBolivia,,,,,,,,
Netherlands,Bolivia,NetherlandsBolivia,84,50,45,38,59,75,68,
Poland,Bolivia,PolandBolivia,0,0,0,0,1,0,0,
Portugal,Bolivia,PortugalBolivia,8,1,1,19,14,2,1,
Romania,Bolivia,RomaniaBolivia,0,0,0,0,0,0,0,
Russian Federation,Bolivia,Russian FederationBolivia,0,0,0,1,12,1,39,
Serbia,Bolivia,SerbiaBolivia,0,0,0,0,0,0,0,
Slovakia,Bolivia,SlovakiaBolivia,0,0,0,0,0,0,0,
Slovenia,Bolivia,SloveniaBolivia,0,0,0,0,0,0,0,
Sweden,Bolivia,SwedenBolivia,75,19,26,29,22,39,56,
United Kingdom,Bolivia,United KingdomBolivia,133,230,44,,,,,
Albania,Bosnia and Herzegovina,AlbaniaBosnia and Herzegovina,,,,,7,11,,
Austria,Bosnia and Herzegovina,AustriaBosnia and Herzegovina,185,126,108,116,117,129,168,
Belgium,Bosnia and Herzegovina,BelgiumBosnia and Herzegovina,17,20,17,17,18,22,26,
Bulgaria,Bosnia and Herzegovina,BulgariaBosnia and Herzegovina,14,16,18,15,19,22,25,
Croatia,Bosnia and Herzegovina,CroatiaBosnia and Herzegovina,530,480,413,421,457,456,488,
Cyprus,Bosnia and Herzegovina,CyprusBosnia and Herzegovina,0,0,0,,,,6,
Czech Republic,Bosnia and Herzegovina,Czech RepublicBosnia and Herzegovina,23,34,18,28,26,35,25,
Denmark,Bosnia and Herzegovina,DenmarkBosnia and Herzegovina,12,25,23,19,17,22,4,
Estonia,Bosnia and Herzegovina,EstoniaBosnia and Herzegovina,0,0,0,1,1,1,1,
Finland,Bosnia and Herzegovina,FinlandBosnia and Herzegovina,5,3,4,4,3,4,11,
France,Bosnia and Herzegovina,FranceBosnia and Herzegovina,9,9,13,15,15,12,11,
Greece,Bosnia and Herzegovina,GreeceBosnia and Herzegovina,9,21,5,9,15,12,20,
Hungary,Bosnia and Herzegovina,HungaryBosnia and Herzegovina,17,19,20,19,35,33,35,
Iceland,Bosnia and Herzegovina,IcelandBosnia and Herzegovina,0,0,0,0,0,1,1,
Ireland,Bosnia and Herzegovina,IrelandBosnia and Herzegovina,23,64,,,,,,
Italy,Bosnia and Herzegovina,ItalyBosnia and Herzegovina,190,153,96,112,136,126,151,
Latvia,Bosnia and Herzegovina,LatviaBosnia and Herzegovina,0,1,0,0,0,0,2,
Lithuania,Bosnia and Herzegovina,LithuaniaBosnia and Herzegovina,0,0,0,0,1,,1,
Luxembourg,Bosnia and Herzegovina,LuxembourgBosnia and Herzegovina,24,27,30,27,24,22,22,
Malta,Bosnia and Herzegovina,MaltaBosnia and Herzegovina,0,,,,,,,
Netherlands,Bosnia and Herzegovina,NetherlandsBosnia and Herzegovina,113,20,17,11,24,21,17,
Poland,Bosnia and Herzegovina,PolandBosnia and Herzegovina,5,4,7,4,12,8,9,
Portugal,Bosnia and Herzegovina,PortugalBosnia and Herzegovina,1,1,1,1,1,1,1,
Romania,Bosnia and Herzegovina,RomaniaBosnia and Herzegovina,3,5,3,5,4,6,6,
Russian Federation,Bosnia and Herzegovina,Russian FederationBosnia and Herzegovina,27,15,15,13,18,23,20,
Serbia,Bosnia and Herzegovina,SerbiaBosnia and Herzegovina,286,325,308,298,333,383,439,
